car_sale_id,Maker,Genmodel,Genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
8F7E7A38-193B-5086-101C-ACA9C13E5333,ASTON MARTIN,ASTON MARTIN DB9,6_4,0,0,0,28,140,24,111,149,64,75,158,215,399,550,510,901,225,0,0,0
6ADE0A3E-6513-1CC2-31DF-FAADFEF22DB9,ASTON MARTIN,ASTON MARTIN DB9O,6_4,0,0,0,0,11,159,57,0,0,0,0,0,0,0,0,0,0,0,0,0
68C551E2-05C0-2970-6546-CA9E11E93790,ASTON MARTIN,ASTON MARTIN DBS,6_5,202,287,52,0,0,0,0,1,100,124,149,151,75,3,0,0,0,0,0,0
49ACCFCB-4B1B-46F0-960F-2F96976B85CD,ASTON MARTIN,ASTON MARTIN RAPIDE,6_6,15,38,35,48,46,94,86,97,63,112,130,0,0,0,0,0,0,0,0,0
80191159-7E25-7DD6-7A52-C624E290A59C,ASTON MARTIN,ASTON MARTIN VANQUISH,6_8,0,37,140,181,134,173,88,6,0,0,0,0,3,49,24,54,6,1,1,0
1FA65938-3CCE-31FB-26AA-C3292CA909E1,ASTON MARTIN,ASTON MARTIN VANTAGE,6_9,191,688,421,243,334,310,301,278,278,241,285,417,526,753,967,90,0,0,1,0
9668B4A2-09AC-000E-1DCA-3BDF2E0F461D,ASTON MARTIN,ASTON MARTIN VIRAGE,6_10,0,0,0,0,0,0,0,3,94,77,0,0,0,0,0,0,0,0,0,0
7D64244B-7689-280A-7DA9-C40D1A468050,AUDI,AUDI A1,7_1,13292,19976,19038,21212,24047,22789,22709,22405,18743,16721,1451,0,0,0,0,0,0,0,0,0
FC477484-6DBF-926F-2ABF-A9EC23D2A1ED,AUDI,AUDI A2,7_2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,2046,1877,2392,1938
82461EF8-36D6-2212-0A6C-5960667F7925,AUDI,AUDI A3,7_3,15079,17396,22958,27935,34335,39145,38841,28775,26994,23030,27721,26633,24398,21098,19805,15652,8405,3665,2302,1492
83DE6687-1897-4DB4-2052-965FA6112B72,AUDI,AUDI A4,7_5,8903,13013,12026,19667,23312,17375,18080,17454,15506,15958,15510,16367,21339,21935,20218,15501,13587,9607,5688,2298
786E6934-11FF-7BCB-559A-0162D0225C5B,AUDI,AUDI A5,7_9,5155,9572,9063,10868,7766,9925,10778,11108,10098,9864,11067,7039,4942,1468,0,0,0,0,0,0
17D18ACD-1895-0265-0F3A-EF6FBBAA4207,AUDI,AUDI A6,7_11,4069,9843,8392,8973,13552,11745,11514,11637,9551,8334,8049,5368,8408,9253,5845,4082,2537,1576,1165,611
BFACB5D0-69A7-14FF-707D-2D2BB5265C2B,AUDI,AUDI A7,7_15,729,1572,1417,1489,2262,1982,1909,1981,1424,1848,144,0,0,0,0,0,0,0,0,0
68D99AE1-4EF1-527C-0BB4-FDBDC0593115,AUDI,AUDI A8,7_16,404,758,928,572,707,835,879,777,818,913,588,472,878,748,535,552,378,174,100,92
D9D60A8A-6974-6E42-5D56-4397B0788757,AUDI,AUDI ALLROAD,7_17,0,0,0,0,0,0,0,0,0,1,0,225,561,632,430,0,1,0,2,0
A241AD16-4B97-95DB-1E30-E2BF76C1838B,AUDI,AUDI E-TRON,7_51,5858,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC34CD13-7D0F-5A57-2B3A-05E147A176D4,AUDI,AUDI Q2,7_18,14817,15487,14253,11645,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
