car_price_id,Maker,Genmodel,Genmodel_ID,Year,Entry_price
7628D8D7-6427-8653-65B2-072249C47D72,Alfa Romeo,GT,4_12,2010,19720
E452CC53-178E-6CA1-4C80-27E370DF3BDC,Alfa Romeo,GT,4_12,2011,19720
5A082AF4-330A-67CD-232E-B641E7D46CEE,Alfa Romeo,GTV,4_13,1998,21769
8B20ACD3-208A-794B-70F9-1000FA724C60,Alfa Romeo,GTV,4_13,1999,22008
6C734E23-8A02-A6CA-1ECC-3529B52092E4,Alfa Romeo,GTV,4_13,2000,19313
70BCA5AB-51E3-A03E-149E-C9699E7F919B,Alfa Romeo,GTV,4_13,2001,19313
3A96D493-1BCC-9072-7114-D95F6F175F80,Alfa Romeo,GTV,4_13,2002,19535
72DB2461-1DBD-4EA8-6076-F7969F6D0FCD,Alfa Romeo,GTV,4_13,2003,19985
06C240C2-09A6-0CF6-682C-80CA9FBC9248,Alfa Romeo,GTV,4_13,2004,20182
0CC4E2CE-67CA-87EF-972E-909B0E196759,Alfa Romeo,GTV,4_13,2005,20182
F06DE34B-13D9-38FF-0303-B6869D013E40,Alfa Romeo,MiTo,4_14,2009,10570
87DF4E91-692F-3A7D-3618-5B8F6E47302D,Alfa Romeo,MiTo,4_14,2010,11770
BD5B2D9A-4C66-4E06-57C4-6309FFF35942,Alfa Romeo,MiTo,4_14,2011,11770
A504169E-7C02-9612-6027-9E31898B4DA6,Alfa Romeo,MiTo,4_14,2012,12120
93F0691F-6900-8A2C-9360-DF2A1B0A848A,Alfa Romeo,MiTo,4_14,2013,12445
33F9A36A-4D86-A04D-957E-D27E280015B9,Alfa Romeo,MiTo,4_14,2014,12445
AD7C59A1-184D-7C0E-676F-F854C53B3F92,Alfa Romeo,MiTo,4_14,2015,12615
B867376B-3E1A-5004-63D1-E77EB6109CB6,Alfa Romeo,MiTo,4_14,2016,12615
B17995A0-A362-636D-45BB-BB52F8DB6424,Alfa Romeo,MiTo,4_14,2017,12905
FE18ACB0-84E4-9617-15B0-3E8E05D6944A,Alfa Romeo,MiTo,4_14,2018,12905
A6A7159D-7DBF-9EA8-98C3-0061E45B6561,Alfa Romeo,Spider,4_15,1998,23156
80FA13DF-97B3-32DA-218C-9AF4D081623C,Alfa Romeo,Spider,4_15,1999,23409
611AA7E3-43A7-5704-78E0-6D5043556626,Alfa Romeo,Spider,4_15,2000,19812
A008A85B-8C72-187B-5D25-E0284EC769A0,Alfa Romeo,Spider,4_15,2001,19812
D9B78BB4-59CF-5773-442A-6E970435773D,Alfa Romeo,Spider,4_15,2002,19930
10C48CCF-371A-26ED-1E4A-303BB0333060,Alfa Romeo,Spider,4_15,2003,20120
D41F2AAE-8395-92FC-12B1-6B1AD71963DA,Alfa Romeo,Spider,4_15,2004,20592
8334C2CC-1DB2-401A-7153-2836D8F65800,Alfa Romeo,Spider,4_15,2005,20592
1166B7CD-34DA-0005-A6FA-1A96F032A145,Alfa Romeo,Spider,4_15,2006,25767
996C1A66-2F4C-521C-7969-4E09596495DE,Alfa Romeo,Spider,4_15,2007,25235
ABFD44DE-9594-4D92-6F9B-9A8FF98449D5,Alfa Romeo,Spider,4_15,2008,25235
9499E74D-3ABA-A000-A120-368911180113,Alfa Romeo,Spider,4_15,2009,25109
1DC883DF-4261-1C87-053D-9B055B024635,Alfa Romeo,Spider,4_15,2010,26725
BEBEA312-0B84-83DA-37E7-CD6CA2B56BF9,Alfa Romeo,Spider,4_15,2011,26725
8BA9B5E4-35F8-02DF-83FF-40360F0C2A52,Alfa Romeo,Stelvio,4_16,2017,33775
9CE3E028-5ED4-52CD-81BD-1C7AC0A049C6,Alfa Romeo,Stelvio,4_16,2018,33775
FA2B9061-6BF1-3636-56D0-C00C5AB13698,Alfa Romeo,156,4_2,1998,17423
9EA5A872-5987-3738-4E94-2417DE6B32A4,Alfa Romeo,156,4_2,1999,13695
BE6328D5-1844-7B11-7346-11AB88F31B1F,Alfa Romeo,156,4_2,2000,13695
80785D5B-78EA-A460-94AB-4522D37F6493,Alfa Romeo,156,4_2,2001,13695
5A31C0B4-911B-467B-84EE-91D1AE1A0AB7,Alfa Romeo,156,4_2,2002,14295
D6F31FC9-6940-53C3-8566-A5DC30EB31E9,Alfa Romeo,156,4_2,2003,14295
2241437E-0E29-A668-5635-37A76B6C4BF4,Alfa Romeo,156,4_2,2004,14612
8CC8D5E4-32A2-578D-5D5D-91B745F1880F,Alfa Romeo,156,4_2,2005,14612
834E57D8-3039-20EF-A1E6-3C205B851635,Alfa Romeo,156,4_2,2006,17247
AC582296-0E8A-2927-3471-1E24006F587D,Alfa Romeo,159,4_4,2006,18347
B308CBC7-85A6-0C63-8769-1096C77C4DB3,Alfa Romeo,159,4_4,2007,18335
E367BCCC-15BC-2140-3B31-72A013292018,Alfa Romeo,159,4_4,2008,18335
290E2E04-0C6A-972C-2F0F-DDE8B2BD58BE,Alfa Romeo,159,4_4,2009,18270
8B6CC888-91BA-148E-6D49-EC2C08DE4646,Alfa Romeo,159,4_4,2010,18270
1815F141-758E-1680-7F6F-5842F20322E9,Alfa Romeo,159,4_4,2011,20205
82548F46-4CA4-A549-2A23-7D9391156D75,Alfa Romeo,159,4_4,2012,22330
E0BDA04A-45D9-8D02-3F13-E651E1A746F2,Alfa Romeo,166,4_6,1998,23196
E7F6F37D-09E4-450C-3702-241D5EF90174,Alfa Romeo,166,4_6,1999,21696
D2C7F5B2-3F85-5513-4418-99421E0E8BD7,Alfa Romeo,166,4_6,2000,19796
E7AFBE92-9BEB-98E3-1561-413EB21D6009,Alfa Romeo,166,4_6,2001,20230
F72BC88F-A797-A2C5-95B6-C35D7DB869C3,Alfa Romeo,166,4_6,2002,20230
1087183B-5A87-532B-561C-8FFD3EB84049,Alfa Romeo,166,4_6,2003,20635
4B0EDD67-43F5-A1E6-7CF0-475645DB1C02,Alfa Romeo,166,4_6,2004,20635
89F2FCC3-4A08-02D2-4201-997B22F35A23,Alfa Romeo,166,4_6,2005,20635
52E470F4-0A99-2F72-4CE3-D0D8B26F8B22,Alfa Romeo,166,4_6,2006,21552
CFEEA583-A1F1-75DF-5BB9-B636DDBE64FC,Alfa Romeo,4C,4_7,2014,44765
FD32A11D-5FF5-1F2C-6E25-561B02084712,Alfa Romeo,4C,4_7,2015,44765
71D79B97-6661-8EAE-30A3-EA0821A973BB,Alfa Romeo,4C,4_7,2016,51265
1A3BBF84-63DD-28B6-5F28-9A0A67FA3FA1,Alfa Romeo,4C,4_7,2017,52265
F1DB623E-9C36-07FD-1107-5E71696E6534,Alfa Romeo,4C,4_7,2018,52265
8A909308-38AF-3121-68EB-C9EDF2AB6B44,Alfa Romeo,Brera,4_9,2006,22572
144B609C-64FF-53A1-2778-D111801D0FB4,Alfa Romeo,Brera,4_9,2007,22572
62F1456B-36B1-A1D4-5C11-B277C4157605,Alfa Romeo,Brera,4_9,2008,22572
AB2003CE-7F87-0FE5-6C4B-D9FCADAF805C,Alfa Romeo,Brera,4_9,2009,23152
B1AC257A-4226-000C-A379-89B103AB4BF5,Alfa Romeo,Brera,4_9,2010,24725
B019157C-5E0E-A76C-8A5C-67F363263CBA,Alfa Romeo,Brera,4_9,2011,24725
AA4F716E-4F86-150D-28EA-DE2B66D76A46,Aston Martin,Virage,6_10,2010,149995
96C3156F-8F2C-4935-8C48-5F7A427F1933,Aston Martin,Virage,6_10,2011,149995
36BBE141-0EAE-7205-1EBA-B91E27679A2E,Aston Martin,Virage,6_10,2012,149995
25BCC282-9D5A-0B76-22D8-4562F65202AD,Aston Martin,Virage,6_10,2013,149995
D5326C61-7AE4-3C39-5E6C-AE58104B263D,Aston Martin,DB11,6_2,2016,157900
778A1BA5-819D-64F9-0E9F-CEC1C88D179B,Aston Martin,DB11,6_2,2017,144900
40B21149-0F35-756D-8B80-7820FBCB9437,Aston Martin,DB11,6_2,2018,144900
